ds;y
2017-11-17;1761
2017-11-18;12
2017-11-19;0
2017-11-20;1859
2017-11-21;1978
2017-11-22;2150
2017-11-23;2143
2017-11-24;2032
2017-11-25;3
2017-11-26;0
2017-11-27;2075
2017-11-28;2470
2017-11-29;2834
2017-11-30;3108
2017-12-01;1695
2017-12-02;5
2017-12-03;0
2017-12-04;1813
2017-12-05;1852
2017-12-06;2161
2017-12-07;2354
2017-12-08;2130
2017-12-09;117
2017-12-10;0
2017-12-11;1973
2017-12-12;2177
2017-12-13;2000
2017-12-14;2353
2017-12-15;2136
2017-12-16;12
2017-12-17;0
2017-12-18;2255
2017-12-19;2700
2017-12-20;2952
2017-12-21;3105
2017-12-22;2266
2017-12-23;2
2017-12-24;0
2017-12-25;0
2017-12-26;0
2017-12-27;1751
2017-12-28;2824
2017-12-29;2423
2017-12-30;2
2017-12-31;0
2018-01-01;0
2018-01-02;837
2018-01-03;1716
2018-01-04;1937
2018-01-05;1675
2018-01-06;0
2018-01-07;0
2018-01-08;1744
2018-01-09;1822
2018-01-10;2073
2018-01-11;2166
2018-01-12;1765
2018-01-13;15
2018-01-14;0
2018-01-15;1729
2018-01-16;1769
2018-01-17;1786
2018-01-18;2052
2018-01-19;1661
2018-01-20;10
2018-01-21;0
2018-01-22;1600
2018-01-23;1703
2018-01-24;1863
2018-01-25;2055
2018-01-26;1725
2018-01-27;10
2018-01-28;0
2018-01-29;1866
2018-01-30;2337
2018-01-31;2673
2018-02-01;1801
2018-02-02;1591
2018-02-03;2
2018-02-04;0
2018-02-05;1654
2018-02-06;1689
2018-02-07;1780
2018-02-08;1918
2018-02-09;1630
2018-02-10;9
2018-02-11;0
2018-02-12;1541
2018-02-13;1669
2018-02-14;1805
2018-02-15;1896
2018-02-16;1826
2018-02-17;3
2018-02-18;1
2018-02-19;1495
2018-02-20;1756
2018-02-21;1817
2018-02-22;2230
2018-02-23;1886
2018-02-24;12
2018-02-25;0
2018-02-26;2040
2018-02-27;2474
2018-02-28;2846
2018-03-01;1934
2018-03-02;1751
2018-03-03;8
2018-03-04;0
2018-03-05;1638
2018-03-06;1750
2018-03-07;1833
2018-03-08;2027
2018-03-09;1651
2018-03-10;4
2018-03-11;0
2018-03-12;1566
2018-03-13;1657
2018-03-14;1923
2018-03-15;2079
2018-03-16;1775
2018-03-17;7
2018-03-18;0
2018-03-19;1760
2018-03-20;1999
2018-03-21;2040
2018-03-22;2239
2018-03-23;2177
2018-03-24;5
2018-03-25;0
2018-03-26;2303
2018-03-27;2742
2018-03-28;3184
2018-03-29;3556
2018-03-30;1792
2018-03-31;0
2018-04-01;0
2018-04-02;0
2018-04-03;1381
2018-04-04;1744
2018-04-05;2087
2018-04-06;1855
2018-04-07;7
2018-04-08;0
2018-04-09;1625
